Station,Date,Measurement,Month,Year,Day,DoY
09/1949-05/1979,04/12/1951,6.2,12,1951,04,338
09/1949-05/1979,05/12/1951,1.2,12,1951,05,339
09/1949-05/1979,13/12/1951,8.9,12,1951,13,347
09/1949-05/1979,14/12/1951,14.1,12,1951,14,348
09/1949-05/1979,15/12/1951,40.5,12,1951,15,349
09/1949-05/1979,16/12/1951,8.7,12,1951,16,350
09/1949-05/1979,17/12/1951,44.5,12,1951,17,351
09/1949-05/1979,18/12/1951,52.9,12,1951,18,352
09/1949-05/1979,19/12/1951,3.6,12,1951,19,353
09/1949-05/1979,20/12/1951,48.1,12,1951,20,354
09/1949-05/1979,21/12/1951,2.4,12,1951,21,355
09/1949-05/1979,23/12/1951,10.3,12,1951,23,357
09/1949-05/1979,24/12/1951,0.1,12,1951,24,358
09/1949-05/1979,28/12/1951,1.9,12,1951,28,362
09/1949-05/1979,29/12/1951,0.4,12,1951,29,363
09/1949-05/1979,01/01/1952,0.3,01,1952,01,1
09/1949-05/1979,03/01/1952,3.1,01,1952,03,3
09/1949-05/1979,06/01/1952,5.2,01,1952,06,6
09/1949-05/1979,07/01/1952,2.7,01,1952,07,7
09/1949-05/1979,08/01/1952,2.3,01,1952,08,8
09/1949-05/1979,09/01/1952,11.5,01,1952,09,9
09/1949-05/1979,10/01/1952,6.2,01,1952,10,10
09/1949-05/1979,11/01/1952,4.0,01,1952,11,11
09/1949-05/1979,12/01/1952,16.5,01,1952,12,12
09/1949-05/1979,15/01/1952,19.4,01,1952,15,15
09/1949-05/1979,16/01/1952,0.9,01,1952,16,16
09/1949-05/1979,22/01/1952,0.3,01,1952,22,22
09/1949-05/1979,24/01/1952,1.1,01,1952,24,24
09/1949-05/1979,01/02/1952,18.3,02,1952,01,32
09/1949-05/1979,02/02/1952,28.0,02,1952,02,33
09/1949-05/1979,03/02/1952,15.5,02,1952,03,34
09/1949-05/1979,04/02/1952,1.4,02,1952,04,35
09/1949-05/1979,08/02/1952,2.8,02,1952,08,39
09/1949-05/1979,09/02/1952,4.8,02,1952,09,40
09/1949-05/1979,10/02/1952,6.4,02,1952,10,41
09/1949-05/1979,11/02/1952,27.1,02,1952,11,42
09/1949-05/1979,21/02/1952,11.2,02,1952,21,52
09/1949-05/1979,22/02/1952,29.3,02,1952,22,53
09/1949-05/1979,23/02/1952,3.3,02,1952,23,54
09/1949-05/1979,24/02/1952,0.6,02,1952,24,55
09/1949-05/1979,27/02/1952,1.0,02,1952,27,58
09/1949-05/1979,28/02/1952,0.9,02,1952,28,59
09/1949-05/1979,29/02/1952,2.3,02,1952,29,60
09/1949-05/1979,01/03/1952,10.6,03,1952,01,61
09/1949-05/1979,02/03/1952,14.0,03,1952,02,62
09/1949-05/1979,03/03/1952,8.9,03,1952,03,63
09/1949-05/1979,09/03/1952,1.3,03,1952,09,69
09/1949-05/1979,10/03/1952,6.1,03,1952,10,70
09/1949-05/1979,11/03/1952,7.2,03,1952,11,71
09/1949-05/1979,12/03/1952,11.9,03,1952,12,72
09/1949-05/1979,16/03/1952,2.0,03,1952,16,76
09/1949-05/1979,17/03/1952,6.2,03,1952,17,77
09/1949-05/1979,18/03/1952,1.4,03,1952,18,78
09/1949-05/1979,21/03/1952,2.9,03,1952,21,81
09/1949-05/1979,13/04/1952,3.5,04,1952,13,104
09/1949-05/1979,14/04/1952,0.2,04,1952,14,105
09/1949-05/1979,19/04/1952,0.4,04,1952,19,110
09/1949-05/1979,21/04/1952,3.5,04,1952,21,112
09/1949-05/1979,28/04/1952,0.2,04,1952,28,119
09/1949-05/1979,29/04/1952,3.7,04,1952,29,120
09/1949-05/1979,05/05/1952,3.4,05,1952,05,126
09/1949-05/1979,27/05/1952,0.3,05,1952,27,148
09/1949-05/1979,06/10/1952,1.5,10,1952,06,280
09/1949-05/1979,30/10/1952,6.1,10,1952,30,304
09/1949-05/1979,31/10/1952,0.2,10,1952,31,305
09/1949-05/1979,03/11/1952,1.8,11,1952,03,308
09/1949-05/1979,07/11/1952,6.6,11,1952,07,312
09/1949-05/1979,11/11/1952,4.2,11,1952,11,316
09/1949-05/1979,22/11/1952,2.0,11,1952,22,327
09/1949-05/1979,24/11/1952,9.3,11,1952,24,329
09/1949-05/1979,25/11/1952,12.0,11,1952,25,330
09/1949-05/1979,26/11/1952,0.2,11,1952,26,331
09/1949-05/1979,27/11/1952,0.3,11,1952,27,332
09/1949-05/1979,28/11/1952,0.5,11,1952,28,333
09/1949-05/1979,09/12/1952,0.2,12,1952,09,344
09/1949-05/1979,10/12/1952,0.3,12,1952,10,345
09/1949-05/1979,12/12/1952,2.8,12,1952,12,347
09/1949-05/1979,13/12/1952,17.0,12,1952,13,348
09/1949-05/1979,14/12/1952,9.3,12,1952,14,349
09/1949-05/1979,18/12/1952,0.4,12,1952,18,353
09/1949-05/1979,19/12/1952,5.0,12,1952,19,354
09/1949-05/1979,22/12/1952,2.7,12,1952,22,357
09/1949-05/1979,25/12/1952,2.2,12,1952,25,360
09/1949-05/1979,26/12/1952,22.8,12,1952,26,361
09/1949-05/1979,27/12/1952,2.8,12,1952,27,362
09/1949-05/1979,02/01/1953,0.4,01,1953,02,2
09/1949-05/1979,07/01/1953,1.3,01,1953,07,7
09/1949-05/1979,08/01/1953,0.1,01,1953,08,8
09/1949-05/1979,10/01/1953,28.2,01,1953,10,10
09/1949-05/1979,11/01/1953,49.0,01,1953,11,11
09/1949-05/1979,12/01/1953,8.3,01,1953,12,12
09/1949-05/1979,15/01/1953,21.8,01,1953,15,15
09/1949-05/1979,16/01/1953,30.5,01,1953,16,16
09/1949-05/1979,21/01/1953,0.3,01,1953,21,21
09/1949-05/1979,22/01/1953,9.2,01,1953,22,22
09/1949-05/1979,23/01/1953,29.0,01,1953,23,23
09/1949-05/1979,24/01/1953,10.0,01,1953,24,24
09/1949-05/1979,25/01/1953,5.3,01,1953,25,25
09/1949-05/1979,05/02/1953,11.3,02,1953,05,36
09/1949-05/1979,06/02/1953,2.4,02,1953,06,37
09/1949-05/1979,09/02/1953,37.7,02,1953,09,40
09/1949-05/1979,10/02/1953,9.1,02,1953,10,41
09/1949-05/1979,11/02/1953,4.1,02,1953,11,42
09/1949-05/1979,16/02/1953,0.1,02,1953,16,47
09/1949-05/1979,17/02/1953,2.8,02,1953,17,48
09/1949-05/1979,18/02/1953,14.0,02,1953,18,49
09/1949-05/1979,19/02/1953,9.0,02,1953,19,50
09/1949-05/1979,20/02/1953,0.7,02,1953,20,51
09/1949-05/1979,22/02/1953,0.2,02,1953,22,53
09/1949-05/1979,23/02/1953,7.3,02,1953,23,54
09/1949-05/1979,26/02/1953,0.9,02,1953,26,57
09/1949-05/1979,27/02/1953,0.9,02,1953,27,58
09/1949-05/1979,28/02/1953,11.5,02,1953,28,59
09/1949-05/1979,01/03/1953,7.8,03,1953,01,60
09/1949-05/1979,02/03/1953,8.6,03,1953,02,61
09/1949-05/1979,03/03/1953,12.0,03,1953,03,62
09/1949-05/1979,04/03/1953,8.1,03,1953,04,63
09/1949-05/1979,05/03/1953,0.3,03,1953,05,64
09/1949-05/1979,06/03/1953,9.8,03,1953,06,65
09/1949-05/1979,07/03/1953,36.1,03,1953,07,66
09/1949-05/1979,08/03/1953,0.5,03,1953,08,67
09/1949-05/1979,11/03/1953,2.2,03,1953,11,70
09/1949-05/1979,12/03/1953,1.5,03,1953,12,71
09/1949-05/1979,13/03/1953,2.0,03,1953,13,72
09/1949-05/1979,14/03/1953,11.3,03,1953,14,73
09/1949-05/1979,15/03/1953,0.3,03,1953,15,74
09/1949-05/1979,16/03/1953,1.4,03,1953,16,75
09/1949-05/1979,17/03/1953,0.6,03,1953,17,76
09/1949-05/1979,18/03/1953,4.3,03,1953,18,77
09/1949-05/1979,19/03/1953,12.6,03,1953,19,78
09/1949-05/1979,20/03/1953,13.6,03,1953,20,79
09/1949-05/1979,21/03/1953,10.0,03,1953,21,80
09/1949-05/1979,22/03/1953,6.6,03,1953,22,81
09/1949-05/1979,23/03/1953,1.9,03,1953,23,82
09/1949-05/1979,24/03/1953,5.7,03,1953,24,83
09/1949-05/1979,30/03/1953,2.5,03,1953,30,89
09/1949-05/1979,31/03/1953,5.4,03,1953,31,90
09/1949-05/1979,01/04/1953,15.9,04,1953,01,91
09/1949-05/1979,02/04/1953,4.9,04,1953,02,92
09/1949-05/1979,04/04/1953,2.5,04,1953,04,94
09/1949-05/1979,05/04/1953,0.3,04,1953,05,95
09/1949-05/1979,11/11/1953,0.5,11,1953,11,315
09/1949-05/1979,15/11/1953,0.1,11,1953,15,319
09/1949-05/1979,16/11/1953,4.3,11,1953,16,320
09/1949-05/1979,17/11/1953,26.7,11,1953,17,321
09/1949-05/1979,18/11/1953,48.7,11,1953,18,322
09/1949-05/1979,19/11/1953,23.2,11,1953,19,323
09/1949-05/1979,20/11/1953,2.0,11,1953,20,324
09/1949-05/1979,23/11/1953,4.8,11,1953,23,327
09/1949-05/1979,24/11/1953,7.9,11,1953,24,328
09/1949-05/1979,25/11/1953,3.5,11,1953,25,329
09/1949-05/1979,26/11/1953,0.3,11,1953,26,330
09/1949-05/1979,14/12/1953,6.5,12,1953,14,348
09/1949-05/1979,17/12/1953,26.6,12,1953,17,351
09/1949-05/1979,18/12/1953,13.7,12,1953,18,352
09/1949-05/1979,19/12/1953,12.2,12,1953,19,353
09/1949-05/1979,20/12/1953,0.5,12,1953,20,354
09/1949-05/1979,22/12/1953,3.0,12,1953,22,356
09/1949-05/1979,23/12/1953,0.4,12,1953,23,357
09/1949-05/1979,24/12/1953,18.0,12,1953,24,358
09/1949-05/1979,25/12/1953,0.3,12,1953,25,359
09/1949-05/1979,30/12/1953,10.9,12,1953,30,364
09/1949-05/1979,31/12/1953,9.8,12,1953,31,365
09/1949-05/1979,01/01/1954,2.6,01,1954,01,1
09/1949-05/1979,02/01/1954,11.7,01,1954,02,2
09/1949-05/1979,03/01/1954,4.9,01,1954,03,3
09/1949-05/1979,04/01/1954,19.1,01,1954,04,4
09/1949-05/1979,06/01/1954,0.2,01,1954,06,6
09/1949-05/1979,08/01/1954,4.2,01,1954,08,8
09/1949-05/1979,11/01/1954,30.0,01,1954,11,11
09/1949-05/1979,12/01/1954,13.0,01,1954,12,12
09/1949-05/1979,19/01/1954,6.0,01,1954,19,19
09/1949-05/1979,20/01/1954,3.2,01,1954,20,20
09/1949-05/1979,21/01/1954,9.5,01,1954,21,21
09/1949-05/1979,22/01/1954,10.7,01,1954,22,22
09/1949-05/1979,23/01/1954,2.4,01,1954,23,23
09/1949-05/1979,24/01/1954,5.5,01,1954,24,24
09/1949-05/1979,25/01/1954,0.3,01,1954,25,25
09/1949-05/1979,26/01/1954,2.0,01,1954,26,26
09/1949-05/1979,27/01/1954,1.2,01,1954,27,27
09/1949-05/1979,29/01/1954,2.1,01,1954,29,29
09/1949-05/1979,30/01/1954,3.0,01,1954,30,30
09/1949-05/1979,04/02/1954,6.2,02,1954,04,35
09/1949-05/1979,07/02/1954,11.3,02,1954,07,38
09/1949-05/1979,08/02/1954,47.4,02,1954,08,39
09/1949-05/1979,09/02/1954,29.1,02,1954,09,40
09/1949-05/1979,10/02/1954,30.4,02,1954,10,41
09/1949-05/1979,11/02/1954,1.3,02,1954,11,42
09/1949-05/1979,14/02/1954,2.5,02,1954,14,45
09/1949-05/1979,15/02/1954,1.2,02,1954,15,46
09/1949-05/1979,19/02/1954,10.9,02,1954,19,50
09/1949-05/1979,21/02/1954,0.6,02,1954,21,52
09/1949-05/1979,23/02/1954,8.6,02,1954,23,54
09/1949-05/1979,24/02/1954,8.0,02,1954,24,55
09/1949-05/1979,25/02/1954,10.1,02,1954,25,56
09/1949-05/1979,26/02/1954,4.7,02,1954,26,57
09/1949-05/1979,05/03/1954,1.5,03,1954,05,64
09/1949-05/1979,06/03/1954,8.2,03,1954,06,65
09/1949-05/1979,07/03/1954,1.5,03,1954,07,66
09/1949-05/1979,18/03/1954,4.7,03,1954,18,77
09/1949-05/1979,19/03/1954,0.1,03,1954,19,78
09/1949-05/1979,22/03/1954,4.3,03,1954,22,81
09/1949-05/1979,23/03/1954,1.2,03,1954,23,82
09/1949-05/1979,24/03/1954,22.0,03,1954,24,83
09/1949-05/1979,31/03/1954,8.9,03,1954,31,90
09/1949-05/1979,01/04/1954,37.8,04,1954,01,91
09/1949-05/1979,02/04/1954,2.5,04,1954,02,92
09/1949-05/1979,04/04/1954,0.6,04,1954,04,94
09/1949-05/1979,05/04/1954,18.3,04,1954,05,95
09/1949-05/1979,07/04/1954,3.2,04,1954,07,97
09/1949-05/1979,10/04/1954,1.1,04,1954,10,100
09/1949-05/1979,13/04/1954,3.4,04,1954,13,103
09/1949-05/1979,16/04/1954,1.7,04,1954,16,106
09/1949-05/1979,14/05/1954,0.3,05,1954,14,134
09/1949-05/1979,23/10/1954,0.3,10,1954,23,296
09/1949-05/1979,31/10/1954,1.0,10,1954,31,304
09/1949-05/1979,16/11/1954,2.1,11,1954,16,320
09/1949-05/1979,17/11/1954,15.0,11,1954,17,321
09/1949-05/1979,20/11/1954,7.1,11,1954,20,324
09/1949-05/1979,21/11/1954,4.6,11,1954,21,325
09/1949-05/1979,22/11/1954,9.0,11,1954,22,326
09/1949-05/1979,23/11/1954,16.0,11,1954,23,327
09/1949-05/1979,24/11/1954,6.7,11,1954,24,328
09/1949-05/1979,29/11/1954,3.4,11,1954,29,333
09/1949-05/1979,30/11/1954,0.8,11,1954,30,334
09/1949-05/1979,05/12/1954,10.2,12,1954,05,339
09/1949-05/1979,06/12/1954,4.8,12,1954,06,340
09/1949-05/1979,07/12/1954,0.1,12,1954,07,341
09/1949-05/1979,20/12/1954,15.0,12,1954,20,354
09/1949-05/1979,21/12/1954,4.6,12,1954,21,355
09/1949-05/1979,22/12/1954,0.8,12,1954,22,356
09/1949-05/1979,24/12/1954,4.9,12,1954,24,358
09/1949-05/1979,27/12/1954,7.1,12,1954,27,361
09/1949-05/1979,28/12/1954,23.2,12,1954,28,362
09/1949-05/1979,29/12/1954,36.4,12,1954,29,363
09/1949-05/1979,30/12/1954,7.0,12,1954,30,364
09/1949-05/1979,31/12/1954,1.0,12,1954,31,365
09/1949-05/1979,10/01/1955,3.3,01,1955,10,10
09/1949-05/1979,13/01/1955,8.0,01,1955,13,13
09/1949-05/1979,14/01/1955,0.3,01,1955,14,14
09/1949-05/1979,21/01/1955,1.0,01,1955,21,21
09/1949-05/1979,25/01/1955,14.3,01,1955,25,25
09/1949-05/1979,04/02/1955,2.0,02,1955,04,35
09/1949-05/1979,05/02/1955,42.0,02,1955,05,36
09/1949-05/1979,06/02/1955,11.6,02,1955,06,37
09/1949-05/1979,09/02/1955,0.4,02,1955,09,40
09/1949-05/1979,10/02/1955,0.9,02,1955,10,41
09/1949-05/1979,11/02/1955,0.3,02,1955,11,42
09/1949-05/1979,21/02/1955,0.8,02,1955,21,52
09/1949-05/1979,22/02/1955,2.7,02,1955,22,53
09/1949-05/1979,03/03/1955,0.3,03,1955,03,62
09/1949-05/1979,04/03/1955,0.4,03,1955,04,63
09/1949-05/1979,05/03/1955,1.9,03,1955,05,64
09/1949-05/1979,11/03/1955,4.2,03,1955,11,70
09/1949-05/1979,12/03/1955,15.7,03,1955,12,71
09/1949-05/1979,14/03/1955,9.5,03,1955,14,73
09/1949-05/1979,15/03/1955,13.5,03,1955,15,74
09/1949-05/1979,16/03/1955,4.2,03,1955,16,75
09/1949-05/1979,17/03/1955,1.2,03,1955,17,76
09/1949-05/1979,18/03/1955,1.7,03,1955,18,77
09/1949-05/1979,25/03/1955,0.9,03,1955,25,84
09/1949-05/1979,26/03/1955,0.7,03,1955,26,85
09/1949-05/1979,27/03/1955,7.5,03,1955,27,86
09/1949-05/1979,05/04/1955,0.3,04,1955,05,95
09/1949-05/1979,06/04/1955,2.1,04,1955,06,96
09/1949-05/1979,08/04/1955,13.6,04,1955,08,98
09/1949-05/1979,09/04/1955,1.4,04,1955,09,99
09/1949-05/1979,27/04/1955,6.0,04,1955,27,117
09/1949-05/1979,02/05/1955,4.0,05,1955,02,122
09/1949-05/1979,03/05/1955,9.0,05,1955,03,123
09/1949-05/1979,27/09/1955,1.0,09,1955,27,270
09/1949-05/1979,06/10/1955,1.5,10,1955,06,279
09/1949-05/1979,28/10/1955,7.0,10,1955,28,301
09/1949-05/1979,29/10/1955,1.3,10,1955,29,302
09/1949-05/1979,06/11/1955,0.4,11,1955,06,310
09/1949-05/1979,07/11/1955,8.3,11,1955,07,311
09/1949-05/1979,08/11/1955,13.9,11,1955,08,312
09/1949-05/1979,09/11/1955,2.4,11,1955,09,313
09/1949-05/1979,10/11/1955,4.9,11,1955,10,314
09/1949-05/1979,11/11/1955,1.1,11,1955,11,315
09/1949-05/1979,12/11/1955,0.9,11,1955,12,316
09/1949-05/1979,21/11/1955,7.0,11,1955,21,325
09/1949-05/1979,22/11/1955,86.2,11,1955,22,326
09/1949-05/1979,23/11/1955,20.9,11,1955,23,327
09/1949-05/1979,24/11/1955,7.2,11,1955,24,328
09/1949-05/1979,27/11/1955,0.1,11,1955,27,331
09/1949-05/1979,28/11/1955,8.4,11,1955,28,332
09/1949-05/1979,29/11/1955,15.9,11,1955,29,333
09/1949-05/1979,30/11/1955,2.6,11,1955,30,334
09/1949-05/1979,04/12/1955,0.1,12,1955,04,338
09/1949-05/1979,06/12/1955,47.9,12,1955,06,340
09/1949-05/1979,07/12/1955,4.8,12,1955,07,341
09/1949-05/1979,08/12/1955,2.1,12,1955,08,342
09/1949-05/1979,09/12/1955,0.1,12,1955,09,343
09/1949-05/1979,10/12/1955,8.9,12,1955,10,344
09/1949-05/1979,11/12/1955,3.9,12,1955,11,345
09/1949-05/1979,13/12/1955,9.4,12,1955,13,347
09/1949-05/1979,14/12/1955,3.8,12,1955,14,348
09/1949-05/1979,15/12/1955,12.0,12,1955,15,349
09/1949-05/1979,16/12/1955,3.8,12,1955,16,350
09/1949-05/1979,17/12/1955,11.4,12,1955,17,351
09/1949-05/1979,18/12/1955,0.5,12,1955,18,352
09/1949-05/1979,24/12/1955,2.1,12,1955,24,358
09/1949-05/1979,25/12/1955,29.8,12,1955,25,359
09/1949-05/1979,26/12/1955,0.3,12,1955,26,360
09/1949-05/1979,28/12/1955,14.5,12,1955,28,362
09/1949-05/1979,03/01/1956,10.9,01,1956,03,3
09/1949-05/1979,04/01/1956,25.8,01,1956,04,4
09/1949-05/1979,05/01/1956,30.7,01,1956,05,5
09/1949-05/1979,06/01/1956,5.4,01,1956,06,6
09/1949-05/1979,08/01/1956,0.2,01,1956,08,8
09/1949-05/1979,09/01/1956,5.3,01,1956,09,9
09/1949-05/1979,13/01/1956,5.4,01,1956,13,13
09/1949-05/1979,16/01/1956,0.4,01,1956,16,16
09/1949-05/1979,17/01/1956,0.5,01,1956,17,17
09/1949-05/1979,27/01/1956,27.6,01,1956,27,27
09/1949-05/1979,28/01/1956,12.0,01,1956,28,28
09/1949-05/1979,29/01/1956,17.8,01,1956,29,29
09/1949-05/1979,30/01/1956,8.5,01,1956,30,30
09/1949-05/1979,06/02/1956,6.1,02,1956,06,37
09/1949-05/1979,07/02/1956,6.7,02,1956,07,38
09/1949-05/1979,09/02/1956,17.2,02,1956,09,40
09/1949-05/1979,10/02/1956,1.8,02,1956,10,41
09/1949-05/1979,20/02/1956,8.7,02,1956,20,51
09/1949-05/1979,23/02/1956,0.4,02,1956,23,54
09/1949-05/1979,28/02/1956,1.6,02,1956,28,59
09/1949-05/1979,29/02/1956,3.1,02,1956,29,60
09/1949-05/1979,01/03/1956,18.5,03,1956,01,61
09/1949-05/1979,02/03/1956,11.8,03,1956,02,62
